"","Minute","Team","Margin"
"1",1,"PHI",44
"2",2,"PHI",31
"3",3,"PHI",12
"4",4,"PHI",35
"5",5,"PHI",19
"6",6,"PHI",-14
"7",7,"PHI",25
"8",8,"PHI",-9
"9",9,"PHI",2
"10",10,"PHI",12
"11",11,"PHI",26
"12",12,"PHI",-13
"13",13,"PHI",34
"14",14,"PHI",-2
"15",15,"PHI",-28
"16",16,"PHI",25
"17",17,"PHI",-6
"18",18,"PHI",13
"19",19,"PHI",29
"20",20,"PHI",-4
"21",21,"PHI",33
"22",22,"PHI",1
"23",23,"PHI",-28
"24",24,"PHI",5
"25",25,"PHI",1
"26",26,"PHI",-23
"27",27,"PHI",11
"28",28,"PHI",50
"29",29,"PHI",-13
"30",30,"PHI",14
"31",31,"PHI",-58
"32",32,"PHI",12
"33",33,"PHI",18
"34",34,"PHI",-35
"35",35,"PHI",6
"36",36,"PHI",5
"37",37,"PHI",25
"38",38,"PHI",-4
"39",39,"PHI",-29
"40",40,"PHI",-19
"41",41,"PHI",12
"42",42,"PHI",30
"43",43,"PHI",-4
"44",44,"PHI",-34
"45",45,"PHI",4
"46",46,"PHI",40
"47",47,"PHI",-14
"48",48,"PHI",6
"49",1,"BOS",65
"50",2,"BOS",11
"51",3,"BOS",17
"52",4,"BOS",-2
"53",5,"BOS",-1
"54",6,"BOS",-3
"55",7,"BOS",30
"56",8,"BOS",7
"57",9,"BOS",16
"58",10,"BOS",-11
"59",11,"BOS",11
"60",12,"BOS",42
"61",13,"BOS",-10
"62",14,"BOS",-24
"63",15,"BOS",18
"64",16,"BOS",2
"65",17,"BOS",13
"66",18,"BOS",-16
"67",19,"BOS",-8
"68",20,"BOS",-1
"69",21,"BOS",-30
"70",22,"BOS",20
"71",23,"BOS",7
"72",24,"BOS",10
"73",25,"BOS",4
"74",26,"BOS",43
"75",27,"BOS",4
"76",28,"BOS",-10
"77",29,"BOS",-15
"78",30,"BOS",-2
"79",31,"BOS",10
"80",32,"BOS",10
"81",33,"BOS",-29
"82",34,"BOS",30
"83",35,"BOS",24
"84",36,"BOS",-12
"85",37,"BOS",16
"86",38,"BOS",28
"87",39,"BOS",9
"88",40,"BOS",39
"89",41,"BOS",-34
"90",42,"BOS",-17
"91",43,"BOS",-5
"92",44,"BOS",-7
"93",45,"BOS",31
"94",46,"BOS",32
"95",47,"BOS",-6
"96",48,"BOS",11
"97",1,"GSW",7
"98",2,"GSW",-7
"99",3,"GSW",36
"100",4,"GSW",-12
"101",5,"GSW",6
"102",6,"GSW",23
"103",7,"GSW",-18
"104",8,"GSW",34
"105",9,"GSW",38
"106",10,"GSW",15
"107",11,"GSW",49
"108",12,"GSW",-12
"109",13,"GSW",-8
"110",14,"GSW",-12
"111",15,"GSW",19
"112",16,"GSW",13
"113",17,"GSW",-18
"114",18,"GSW",-14
"115",19,"GSW",8
"116",20,"GSW",-48
"117",21,"GSW",38
